Language	English	Français	italiano	Deutsche	español	日本	Português	عربى	한국어	Русский	中文(简)	中文(繁)	Polski	Dutch	Предреформенный русскій
rune_affinity_soul	Soul spells cost less mana	Les sorts d'âme coûtent moins de mana.	Gli incantesimi dell'anima costano meno mana.	Seelenzauber kosten weniger Mana.	Los hechizos de alma cuestan menos maná.	ソウル呪文はマナの消費が少ない	Feitiços de alma custam menos mana.	تعويذات الروح تكلف مانا أقل	영혼 마법은 더 적은 마나가 필요합니다.	Заклинания души стоят меньше маны.	灵魂法术消耗更少的法力	靈魂法術消耗的魔法值較少	Zaklęcia duszy kosztują mniej many.	Zielspreuken kosten minder mana.	Заклятія души стоятъ меньше эѳира.
rune_affinity_targeting	Targeting spells cost less mana	Les sorts de ciblage coûtent moins de mana.	Gli incantesimi di targeting costano meno mana.	Zielzauber kosten weniger Mana.	Los hechizos de apuntado cuestan menos maná.	ターゲティング魔法は消費マナが少なくなる。	Feitiços de mira custam menos mana.	تكاليف تعويذات الاستهداف أقل من حيث المانا	대상 마법의 마나 소모가 줄어든다.	Заклинания нацеливания стоят меньше маны.	目标法术耗费更少的法力	目標法術消耗的法力較少	Zaklinania celowania kosztują mniej many.	Doelgerichte spreuken kosten minder mana.	Заклятія нацѣливанія стоятъ меньше эѳира.
rune_armor	Reduce incoming damage	Réduire les dégâts subis	Riduci i danni in arrivo	Eingehenden Schaden reduzieren	Reducir el daño recibido	受けるダメージを軽減する	Reduzir dano recebido	تقليل الضرر الوارد	받는 피해 감소	Снизить поступающий урон	降低收到的伤害	減少受到的傷害	Zmień otrzymywane obrażenia	Verminder binnenkomende schade	Снизить получаемый уронъ
rune_base_pierce	Increase the number of units that arrows will pierce	Augmentez le nombre d'unités que les flèches peuvent transpercer.	Aumenta il numero di unità che le frecce potranno traforare.	Erhöhe die Anzahl der Einheiten, die Pfeile durchdringen können.	Aumenta el número de unidades que las flechas atravesarán.	矢が貫通するユニットの数を増やす	Aumente o número de unidades que as flechas irão perfurar.	زيادة عدد الوحدات التي ستخترقها السهام	화살이 관통할 수 있는 유닛 수를 증가시킵니다.	Увеличьте количество юнитов, которые смогут пронзать стрелы.	增加箭矢穿透的单位数量	增加箭矢穿透的單位數量	Zwiększ liczbę jednostek, które strzały będą przebijać.	Verhoog het aantal eenheden dat pijlen kunnen doorboren.	Увеличить число единицъ, что смогутъ пронзать стрѣлы.
rune_base_radius	Increase the base radius of spell effects	Augmentez le rayon de base des effets de sort.	Aumenta il raggio base degli effetti delle magie	Erhöhe den Basisradius der Zaubereffekte.	Aumenta el radio base de los efectos de hechizo.	呪文効果の基本半径を増加させる	Aumentar o raio base dos efeitos de magias	زيادة نصف قطر تأثيرات السحر الأساسية	주문 효과의 기본 반경을 증가시킵니다.	Увеличьте базовый радиус эффектов заклинаний	增加法术效果的基础半径	增加法術效果的基底半徑	Zwiększ podstawowy promień efektów zaklęć.	Verhoog de basisstraal van spreukeffecten	Увеличить базовый радиусъ дѣйствія заклятій
rune_bounty	This unit has a bounty. Killing them will trigger bounty effects	Cette unité a une prime. Les tuer déclenchera des effets de prime.	Questa unità ha una taglia. Ucciderli attiverà gli effetti della taglia.	Diese Einheit hat eine Belohnung. Sie zu töten wird die Belohnungseffekte auslösen.	Esta unidad tiene una recompensa. Matarlos activará los efectos de la recompensa.	このユニットには賞金がかけられています。彼らを殺すと賞金の効果が発動します。	Esta unidade tem uma recompensa. Matá-los acionará os efeitos da recompensa.	هذه الوحدة لها مكافأة. قتلهم سيفعل تأثيرات المكافأة.	이 유닛은 현상금을 가지고 있습니다. 그들을 죽이면 현상금 효과가 발동됩니다.	Эта единица имеет награду. Убийство её активирует эффекты награды.	该单位有赏金。杀死他们将触发赏金效果。	這個單位有賞金。殺死他們將觸發賞金效果。	Ta jednostka ma nagrodę. Zabicie jej uruchomi efekty nagrody.	Deze eenheid heeft een beloning. Het doden ervan activeert beloningseffecten.	Сія единица имѣетъ награду. Убиваніе ея активируетъ эффекты награды.
rune_bounty_damage	Deal more damage against units with a bounty	Infligez plus de dégâts aux unités avec une prime.	Infliggi più danni contro le unità con una taglia.	Füge Einheiten mit einer Belohnung mehr Schaden zu.	Haces más daño contra unidades con recompensa.	賞金がかかったユニットに対してより多くのダメージを与える	Faça mais dano contra unidades com uma recompensa.	تلحق ضرراً أكبر ضد الوحدات ذات المكافأة	보상이 있는 유닛에 대해 더 많은 피해를 입힙니다.	Наносите больше урона юнитам с наградой.	对有赏金的单位造成更多伤害	對於懸賞單位造成更多傷害	Zadaj więcej obrażeń jednostkom z nagrodą.	Doe meer schade aan eenheden met een beloning.	Наносить больше урона единицамъ съ наградой.
rune_bounty_hunter	This unit can claim bounties. Bounties appear on turn start	Cette unité peut revendiquer des primes. Les primes apparaissent au début du tour.	Questa unità può rivendicare ricompense. Le ricompense appaiono all'inizio del turno.	Diese Einheit kann Kopfgelder beanspruchen. Kopfgelder erscheinen zu Beginn der Runde.	Esta unidad puede reclamar recompensas. Las recompensas aparecen al inicio del turno.	このユニットは報酬を請求できます。報酬はターン開始時に表示されます。	Esta unidade pode reivindicar recompensas. As recompensas aparecem no início do turno.	يمكن لهذه الوحدة المطالبة بالمكافآت. تظهر المكافآت في بداية الدور.	이 유닛은 보상을 청구할 수 있습니다. 보상은 턴 시작 시 나타납니다.	Этот юнит может требовать вознаграждения. Вознаграждения появляются в начале хода.	该单位可以领取赏金。赏金在回合开始时出现。	此單位可以索取獎金。獎金在回合開始時出現。	Ta jednostka może zgłaszać nagrody. Nagrody pojawiają się na początku tury.	Deze eenheid kan beloningen claimen. Beloningen verschijnen aan het begin van de beurt.	Сія единица можетъ требовать награды. Награды появляются въ началѣ хода.
rune_bounty_restore_health	Restore health when claiming a bounty	Restaurez la santé en réclamant une récompense.	Ripristina salute quando si reclama una ricompensa.	Gesundheit wiederherstellen, wenn man eine Belohnung einlöst.	Restaura salud al reclamar una recompensa.	報酬を受け取るときに健康を回復する	Restaurar saúde ao reivindicar uma recompensa.	استعادة الصحة عند استلام مكافأة	현상금을 받을 때 체력을 회복합니다.	Восстановление здоровья при получении вознаграждения.	索取赏金时恢复生命值	獲得賞金時恢復健康	Przywróć zdrowie po odebraniu nagrody.	Herstel gezondheid bij het innen van een beloning.	Восстановленіе здоровья при полученіи награды.
rune_bounty_restore_mana	Restore mana when claiming a bounty	Restaurez le mana en réclamant une prime.	Ripristina mana quando si reclama un bottino.	Wiederherstellung von Mana beim Einfordern einer Belohnung	Restaura mana al reclamar una recompensa.	報酬を受け取るとマナを回復する	Restaura mana ao reivindicar uma recompensa.	استرجاع المانا عند استرداد جائزة	보상을 받을 때 마나를 회복합니다.	Восстановите ману при получении bounty.	获得悬赏时恢复魔法值	獲得懸賞時恢復法力值	Przywróć manę przy odbieraniu nagrody.	Herstel mana bij het innen van een beloning.	Восстановить эѳиръ при полученіи награды.
rune_bounty_restore_stamina	Restore stamina when claiming a bounty	Restaurez votre endurance en réclamant une prime.	Ripristina la resistenza quando si reclama un incarico.	Wiederherstellung der Ausdauer beim Einlösen einer Belohnung	Restaura la resistencia al reclamar una recompensa.	賞金を請求するとスタミナが回復します	Restaura estamina ao reivindicar uma recompensa.	استعادة القدرة على التحمل عند استلام مكافأة	현상금 청구 시 이동 능력 복원	Восстановите выносливость, получая награду за заказ.	领取赏金时恢复耐力	獲取賞金時恢復耐力	Przywróć wytrzymałość po odebraniu nagrody.	Herstel uithoudingsvermogen bij het innen van een beloning.	Восстановить выносливость, получая награду за заказъ.
rune_clone_on_spawn	Clone self when spawning	Cloner soi-même lors de la naissance	Clonare se stessi alla comparsa	Klon dich selbst beim Spawn.	Clonar uno mismo al aparecer	スポーン時に自己クローンを生成	Clonar a si mesmo ao surgir	تكوين نسخة من الذات عند الاستدعاء	소환할 때 복제 생성	Клонировать себя при появлении	生成时克隆自身	重生時克隆自己	Klonuj siebie podczas pojawiania się	Kloon jezelf als je spawnt	Клонировать себя при появленіи
rune_contaminate_on_tele	Cast "Contaminate" on self when teleporting	Lance "Contaminer" sur soi-même en se téléportant.	Lancia "Contaminare" su te stesso mentre teletrasporti.	Wirke "Kontaminiere" auf dich selbst, während du teleportierst.	Lanza "Contaminar" sobre ti mismo al teletransportarte.	テレポート時に自分に「汚染」をかける	Lance "Contaminar" em si mesmo ao teletransportar.	ألقِ "تلوث" على نفسك عند استخدام السحر الانتقال.	텔레포트할 때 "오염"을 자신에게 시전하십시오.	Используйте "Загрязнение" на себе при телепортации.	在传送时对自己施放“污染”	在傳送時對自己施放「污染」	Rzuć "Zatrucie" na siebie podczas teleportacji.	Cast "Besmetten" op jezelf tijdens het teleporteren.	Использовать "Загрязненіе" на себѣ при переносе.
